demo,demo1,demo2,demo3,demo4,demo5,demo6,demo7,demo8,demo9,dv0,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,class,reg_target
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,453.521369
0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,151.9191912
0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,-141.6669911
0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,-227.2454744
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,-130.7527901
0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,-204.0912045
0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-288.2558409
1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,63.98671518
0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,-133.6297825
0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,121.895173
0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,53.67509804
0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,266.5651448
1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,121.9979449
1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,-104.2014478
0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,-10.20033489
0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,-78.30690456
0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,119.2522399
0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,98.40949421
0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,-326.0531684
1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,-191.3294175
0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,123.6238208
0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,107.7365961
0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,-103.5606894
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,-155.8478109
1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,-106.396586
0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,10.31484652
0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,-189.7586415
1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,129.4440409
1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,102.5946743
0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,49.20231945
1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,-102.081248
1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,-137.4166005
0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,-150.4268539
0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,-41.88914108
0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,-104.0706045
1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,-57.2325364
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,169.4750542
0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,39.13171374
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,-412.4867899
0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,-137.540433
0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,-5.949281011
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,-116.3119679
0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,-85.13851142
0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,2.221450316
0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,-60.00801608
0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,17.73238867
1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,-108.0437721
1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,-251.5795759
1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,-10.49875865
0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,140.349359
0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,105.7210607
1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,-171.9256939
1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,-280.8415857
0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,-55.59116419
1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,74.79952678
0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,73.70268836
1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,15.69064319
1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,39.03809197
1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-221.5515702
1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,-49.97490287
0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,-184.3833497
1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,-57.81106798
0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,-11.08781758
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,-52.30660129
1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,44.21818378
0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,7.697060218
1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,-77.41878149
0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,-370.7098814
0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,134.7713956
