demo,demo1,demo2,demo3,demo4,demo5,demo6,demo7,demo8,demo9,dv0,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,reg_target
1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,91.88300997
0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,58.99660128
1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,166.3333507
1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4.450023479
0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,47.0690117
0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,182.1799487
1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,33.95750388
0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,162.4501008
1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,-4.519593819
1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,-7.481450533999999
0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,14.19963585
0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,265.1516436
1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,-68.05253691
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,-28.0372886
1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,116.7791854
1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,120.0096268
1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,58.88990334
1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,-51.68666364
1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,248.3233966
1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,-142.4324055
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,115.91453090000002
0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,-50.93033715
1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,-134.8754606
0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,131.684529
1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,46.74445614
1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,-128.3858954
0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,-224.4642592
0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,21.68668708
1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,74.27952695
1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,42.69436347
1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,-189.9785034
1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,-6.569818364
0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,126.4451802
0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,-215.38457180000003
1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,10.2272912
1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,-161.270106
1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,29.75417509
1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,198.4990161
0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,57.47635498
1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,219.50764930000003
1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,-52.64006689
1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,-221.6054099
1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,43.6591333
0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,-25.60364452
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,-93.25330857
1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,35.70230895
1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,218.6428277
1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,-21.79628226
0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,-263.5460032
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,-58.01352191
0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,27.82122247
1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,-22.92572494
1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,16.46492645
1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,42.71318902
